playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
DeAngelo Williams,RB,PIT,RB,PIT,null,16.1284,null,null,null,7,null,null,0.7516,null,null,null,17.3856,12.88,3.513,null
Kris Durham,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Richard Gordon,TE,BAL,TE,BAL,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
David Ausberry,TE,FA,TE,FA,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Tom Brady,QB,NE,QB,NE,null,0,null,null,null,76,null,null,0,null,null,null,0,0,3.5387,null
Michael Vick,QB,FA,QB,FA,null,0,null,null,null,76,null,null,0,null,null,null,0,0,null,null
Steve Smith,WR,BAL,WR,BAL,null,10.287,null,null,null,46,null,null,0.4182,null,null,null,11.6849,5.4936,6.008,null
Drew Brees,QB,NO,QB,NO,null,20.2061,null,null,null,6,null,null,0.7507,null,null,null,21.6091,18.338,4.1869,null
Shaun Hill,QB,MIN,QB,MIN,null,12.5318,null,null,null,30,null,null,1.6139,null,null,null,13.7643,11.32,4.3205,null
Josh McCown,QB,CLE,QB,CLE,null,3.4454,null,null,null,35,null,null,1.6765,null,null,null,6.9662,-0.72,7.5127,null
Carson Palmer,QB,ARI,QB,ARI,null,18.1114,null,null,null,14,null,null,0.2085,null,null,null,18.8182,16.588,5.3223,null
Antonio Gates,TE,SD,TE,SD,null,11.9101,null,null,null,7,null,null,0.3329,null,null,null,14.0838,8.8129,4.4174,null
Tony Romo,QB,DAL,QB,DAL,null,0,null,null,null,76,null,null,0,null,null,null,0,0,3.5387,null
Andre Johnson,WR,TEN,WR,TEN,null,5.8717,null,null,null,83,null,null,0.0669,null,null,null,7.9409,3.85,5.988,null
Anquan Boldin,WR,DET,WR,DET,null,8.5177,null,null,null,59,null,null,0.1074,null,null,null,9.3766,7.0062,5.764,null
Jason Witten,TE,DAL,TE,DAL,null,11.4252,null,null,null,9,null,null,0.2434,null,null,null,12.4506,8.0803,3.6777,null
Wes Welker,WR,LA,WR,LA,null,0.7618,null,null,null,156,null,null,0.0184,null,null,null,1.6656,0,5.3094,null
Steven Jackson,RB,NE,RB,NE,null,1.4124,null,null,null,102,null,null,0.1318,null,null,null,2.1696,0,null,null
Matt Schaub,QB,ATL,QB,ATL,null,0.139,null,null,null,62,null,null,0.0098,null,null,null,0.2902,-0.048,3.8547,null
Eli Manning,QB,NYG,QB,NYG,null,17.817,null,null,null,16,null,null,0.3164,null,null,null,19.432,14.82,6.9241,null
Jerricho Cotchery,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Luke McCown,QB,NO,QB,NO,null,0.1329,null,null,null,63,null,null,0.0138,null,null,null,0.2613,0.004,3.8335,null
Larry Fitzgerald,WR,ARI,WR,ARI,null,15.1255,null,null,null,23,null,null,0.2861,null,null,null,16.8452,11.97,6.0996,null
Ben Roethlisberger,QB,PIT,QB,PIT,null,21.1763,null,null,null,3,null,null,0.6618,null,null,null,23.5609,19.5423,7.3994,null
Philip Rivers,QB,SD,QB,SD,null,16.5543,null,null,null,21,null,null,0.7685,null,null,null,18.1889,13.84,7.7443,null
Benjamin Watson,TE,BAL,TE,BAL,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
John Kuhn,RB,NO,RB,NO,null,0.4278,null,null,null,125,null,null,0.0816,null,null,null,0.8141,0,null,null
Josh Cribbs,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Lance Moore,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Nate Washington,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.6357,null
Alex Smith,QB,KC,QB,KC,null,19.0897,null,null,null,8,null,null,0.1849,null,null,null,22.983,15.844,9.3541,null
Ronnie Brown,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Aaron Rodgers,QB,GB,QB,GB,null,20.5604,null,null,null,4,null,null,0.223,null,null,null,21.4486,18.34,3.6183,null
Roddy White,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Vincent Jackson,WR,TB,WR,TB,null,11.0869,null,null,null,41,null,null,0.1488,null,null,null,13.6089,7.04,6.7978,null
Frank Gore,RB,IND,RB,IND,null,11.626,null,null,null,23,null,null,0.1436,null,null,null,13.6656,9.8373,3.9596,null
Darren Sproles,RB,PHI,RB,PHI,null,8.8173,null,null,null,42,null,null,0.4897,null,null,null,9.3737,7.3223,5.427,null
Dan Orlovsky,QB,DET,QB,DET,null,0.4501,null,null,null,50,null,null,0.0729,null,null,null,0.924,0.024,4.7737,null
Derek Anderson,QB,CAR,QB,CAR,null,0.2009,null,null,null,60,null,null,0.0564,null,null,null,0.3481,0.034,3.8485,null
Matt Cassel,QB,TEN,QB,TEN,null,0.4633,null,null,null,49,null,null,0.041,null,null,null,0.7707,0.166,4.3982,null
Ryan Fitzpatrick,QB,NYJ,QB,NYJ,null,17.0912,null,null,null,19,null,null,0.376,null,null,null,18.4671,14.63,6.4673,null
Daniel Fells,TE,NYG,TE,NYG,null,0.9394,null,null,null,78,null,null,0.1427,null,null,null,1.0553,0.4349,null,null
Fred Jackson,RB,SEA,RB,SEA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Reggie Bush,RB,BUF,RB,BUF,null,4.5931,null,null,null,64,null,null,0.3278,null,null,null,5.0006,4.04,6.4478,null
Santonio Holmes,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Kellen Clemens,QB,SD,QB,SD,null,0.2671,null,null,null,56,null,null,0.0265,null,null,null,0.4508,0.012,4.0629,null
Devin Hester,WR,BAL,WR,BAL,null,0.1971,null,null,null,183,null,null,0.0252,null,null,null,0.4759,0,3.6082,null
Eric Weems,WR,ATL,WR,ATL,null,0.3089,null,null,null,179,null,null,0.0055,null,null,null,0.5906,0,7.8968,null
Pierre Thomas,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Adrian Peterson,RB,MIN,RB,MIN,null,15.7118,null,null,null,8,null,null,0.792,null,null,null,17.8552,10.2947,2.7474,null
Ted Ginn,WR,CAR,WR,CAR,null,8.1831,null,null,null,63,null,null,0.1954,null,null,null,12.1431,5.2742,7.0298,null
Zach Miller,TE,FA,TE,FA,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Matt Spaeth,TE,FA,TE,FA,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
